datetime,temp_weighted,month,holiday,is_weekend,hour,minute
2024-01-03 08:30:00,10.0654,1,0,0,8,30
2024-01-03 08:45:00,10.59445,1,0,0,8,45
2024-01-03 09:00:00,11.1235,1,0,0,9,0
2024-01-03 09:15:00,11.630424999999999,1,0,0,9,15
2024-01-03 09:30:00,12.13735,1,0,0,9,30
2024-01-03 09:45:00,12.644275,1,0,0,9,45
2024-01-03 10:00:00,13.1512,1,0,0,10,0
2024-01-03 10:15:00,13.661925,1,0,0,10,15
2024-01-03 10:30:00,14.17265,1,0,0,10,30
2024-01-03 10:45:00,14.683375,1,0,0,10,45
2024-01-03 11:00:00,15.1941,1,0,0,11,0
2024-01-03 11:15:00,15.529975,1,0,0,11,15
2024-01-03 11:30:00,15.865850000000002,1,0,0,11,30
2024-01-03 11:45:00,16.201725,1,0,0,11,45
2024-01-03 12:00:00,16.5376,1,0,0,12,0
2024-01-03 12:15:00,16.73205,1,0,0,12,15
2024-01-03 12:30:00,16.9265,1,0,0,12,30
2024-01-03 12:45:00,17.12095,1,0,0,12,45
2024-01-03 13:00:00,17.3154,1,0,0,13,0
2024-01-03 13:15:00,17.37085,1,0,0,13,15
2024-01-03 13:30:00,17.426299999999998,1,0,0,13,30
2024-01-03 13:45:00,17.481749999999998,1,0,0,13,45
2024-01-03 14:00:00,17.5372,1,0,0,14,0
2024-01-03 14:15:00,17.557975,1,0,0,14,15
2024-01-03 14:30:00,17.57875,1,0,0,14,30
2024-01-03 14:45:00,17.599525,1,0,0,14,45
2024-01-03 15:00:00,17.6203,1,0,0,15,0
2024-01-03 15:15:00,17.47675,1,0,0,15,15
2024-01-03 15:30:00,17.333199999999998,1,0,0,15,30
2024-01-03 15:45:00,17.18965,1,0,0,15,45
2024-01-03 16:00:00,17.0461,1,0,0,16,0
2024-01-03 16:15:00,16.550024999999998,1,0,0,16,15
2024-01-03 16:30:00,16.05395,1,0,0,16,30
2024-01-03 16:45:00,15.557875000000001,1,0,0,16,45
2024-01-03 17:00:00,15.061800000000002,1,0,0,17,0
2024-01-03 17:15:00,14.452900000000001,1,0,0,17,15
2024-01-03 17:30:00,13.844000000000001,1,0,0,17,30
2024-01-03 17:45:00,13.235100000000001,1,0,0,17,45
2024-01-03 18:00:00,12.6262,1,0,0,18,0
2024-01-03 18:15:00,12.221350000000001,1,0,0,18,15
2024-01-03 18:30:00,11.816500000000001,1,0,0,18,30
2024-01-03 18:45:00,11.411650000000002,1,0,0,18,45
2024-01-03 19:00:00,11.006800000000002,1,0,0,19,0
2024-01-03 19:15:00,10.848525000000002,1,0,0,19,15
2024-01-03 19:30:00,10.69025,1,0,0,19,30
2024-01-03 19:45:00,10.531975,1,0,0,19,45
2024-01-03 20:00:00,10.3737,1,0,0,20,0
2024-01-03 20:15:00,10.27805,1,0,0,20,15
2024-01-03 20:30:00,10.1824,1,0,0,20,30
2024-01-03 20:45:00,10.086749999999999,1,0,0,20,45
2024-01-03 21:00:00,9.9911,1,0,0,21,0
2024-01-03 21:15:00,9.787975,1,0,0,21,15
2024-01-03 21:30:00,9.58485,1,0,0,21,30
2024-01-03 21:45:00,9.381725,1,0,0,21,45
2024-01-03 22:00:00,9.1786,1,0,0,22,0
2024-01-03 22:15:00,9.194374999999999,1,0,0,22,15
2024-01-03 22:30:00,9.210149999999999,1,0,0,22,30
2024-01-03 22:45:00,9.225925,1,0,0,22,45
2024-01-03 23:00:00,9.2417,1,0,0,23,0
2024-01-03 23:15:00,9.2274,1,0,0,23,15
2024-01-03 23:30:00,9.2131,1,0,0,23,30
2024-01-03 23:45:00,9.198800000000002,1,0,0,23,45
2024-01-04 00:00:00,9.184500000000002,1,0,0,0,0
2024-01-04 00:15:00,9.02955,1,0,0,0,15
2024-01-04 00:30:00,8.874600000000001,1,0,0,0,30
2024-01-04 00:45:00,8.719650000000001,1,0,0,0,45
2024-01-04 01:00:00,8.5647,1,0,0,1,0
2024-01-04 01:15:00,8.3674,1,0,0,1,15
2024-01-04 01:30:00,8.1701,1,0,0,1,30
2024-01-04 01:45:00,7.9728,1,0,0,1,45
2024-01-04 02:00:00,7.7755,1,0,0,2,0
2024-01-04 02:15:00,7.77325,1,0,0,2,15
2024-01-04 02:30:00,7.770999999999999,1,0,0,2,30
2024-01-04 02:45:00,7.768749999999999,1,0,0,2,45
2024-01-04 03:00:00,7.766499999999999,1,0,0,3,0
2024-01-04 03:15:00,7.650399999999999,1,0,0,3,15
2024-01-04 03:30:00,7.5343,1,0,0,3,30
2024-01-04 03:45:00,7.4182,1,0,0,3,45
2024-01-04 04:00:00,7.3021,1,0,0,4,0
2024-01-04 04:15:00,7.260750000000001,1,0,0,4,15
2024-01-04 04:30:00,7.2194,1,0,0,4,30
2024-01-04 04:45:00,7.178050000000001,1,0,0,4,45
2024-01-04 05:00:00,7.136700000000001,1,0,0,5,0
2024-01-04 05:15:00,7.649275000000001,1,0,0,5,15
2024-01-04 05:30:00,8.161850000000001,1,0,0,5,30
2024-01-04 05:45:00,8.674425,1,0,0,5,45
2024-01-04 06:00:00,9.187,1,0,0,6,0
2024-01-04 06:15:00,9.315249999999999,1,0,0,6,15
2024-01-04 06:30:00,9.4435,1,0,0,6,30
2024-01-04 06:45:00,9.57175,1,0,0,6,45
2024-01-04 07:00:00,9.7,1,0,0,7,0
2024-01-04 07:15:00,10.021875,1,0,0,7,15
2024-01-04 07:30:00,10.34375,1,0,0,7,30
2024-01-04 07:45:00,10.665625,1,0,0,7,45
2024-01-04 08:00:00,10.9875,1,0,0,8,0
