State,Date,Hourly Demand Met (in MW),,,,
Madhya Pradesh - 2024,16-Jan 1am,9864.38,,,,
Madhya Pradesh - 2024,16-Jan 2am,9460.91,,,,
Madhya Pradesh - 2024,16-Jan 3am,9435.88,,,,
Madhya Pradesh - 2024,16-Jan 4am,9539.26,,,,
Madhya Pradesh - 2024,16-Jan 5am,9841.16,,,,
Madhya Pradesh - 2024,16-Jan 6am,10892.36,,,,
Madhya Pradesh - 2024,16-Jan 7am,13232.52,,,,
Madhya Pradesh - 2024,16-Jan 8am,15138.16,,,,
Madhya Pradesh - 2024,16-Jan 9am,16171.94,,,,
Madhya Pradesh - 2024,16-Jan 10am,16445.3,,,,
Madhya Pradesh - 2024,16-Jan 11am,16127.69,,,,
Madhya Pradesh - 2024,16-Jan 12pm,15682.42,,,,
Madhya Pradesh - 2024,16-Jan 1pm,15471.1,,,,
Madhya Pradesh - 2024,16-Jan 2pm,15398.42,,,,
Madhya Pradesh - 2024,16-Jan 3pm,15397.95,,,,
Madhya Pradesh - 2024,16-Jan 4pm,15043.6,,,,
Madhya Pradesh - 2024,16-Jan 5pm,14381.74,,,,
Madhya Pradesh - 2024,16-Jan 6pm,13986.52,,,,
Madhya Pradesh - 2024,16-Jan 7pm,13171,,,,
Madhya Pradesh - 2024,16-Jan 8pm,11729.03,,,,
Madhya Pradesh - 2024,16-Jan 9pm,10710.47,,,,
Madhya Pradesh - 2024,16-Jan 10pm,10782.39,,,,
Madhya Pradesh - 2024,16-Jan 11pm,11031.37,,,,
Madhya Pradesh - 2024,17-Jan 12am,10624.97,,,,
Madhya Pradesh - 2024,17-Jan 1am,10191.76,,,,
Madhya Pradesh - 2024,17-Jan 2am,9723.42,,,,
Madhya Pradesh - 2024,17-Jan 3am,9851.25,,,,
Madhya Pradesh - 2024,17-Jan 4am,10000.91,,,,
Madhya Pradesh - 2024,17-Jan 5am,10274.44,,,,
Madhya Pradesh - 2024,17-Jan 6am,11335.46,,,,
Madhya Pradesh - 2024,17-Jan 7am,13697.46,,,,
Madhya Pradesh - 2024,17-Jan 8am,15581.75,,,,
Madhya Pradesh - 2024,17-Jan 9am,16578.96,,,,
Madhya Pradesh - 2024,17-Jan 10am,16906.94,,,,
Madhya Pradesh - 2024,17-Jan 11am,16533.14,,,,
Madhya Pradesh - 2024,17-Jan 12pm,16119.88,,,,
Madhya Pradesh - 2024,17-Jan 1pm,15935.07,,,,
Madhya Pradesh - 2024,17-Jan 2pm,15596.61,,,,
Madhya Pradesh - 2024,17-Jan 3pm,15583.4,,,,
Madhya Pradesh - 2024,17-Jan 4pm,15413.21,,,,
Madhya Pradesh - 2024,17-Jan 5pm,14717.58,,,,
Madhya Pradesh - 2024,17-Jan 6pm,14151.04,,,,
Madhya Pradesh - 2024,17-Jan 7pm,13347.51,,,,
Madhya Pradesh - 2024,17-Jan 8pm,11866.8,,,,
Madhya Pradesh - 2024,17-Jan 9pm,10826.65,,,,
Madhya Pradesh - 2024,17-Jan 10pm,11002.97,,,,
Madhya Pradesh - 2024,17-Jan 11pm,11271.51,,,,
Madhya Pradesh - 2024,18-Jan 12am,10676.59,,,,
Madhya Pradesh - 2024,18-Jan 1am,10336.36,,,,
Madhya Pradesh - 2024,18-Jan 2am,10046.61,,,,
Madhya Pradesh - 2024,18-Jan 3am,10165.65,,,,
Madhya Pradesh - 2024,18-Jan 4am,10263.94,,,,
Madhya Pradesh - 2024,18-Jan 5am,10496.04,,,,
Madhya Pradesh - 2024,18-Jan 6am,11676.57,,,,
Madhya Pradesh - 2024,18-Jan 7am,14106.18,,,,
Madhya Pradesh - 2024,18-Jan 8am,15915.11,,,,
Madhya Pradesh - 2024,18-Jan 9am,16854.59,,,,
Madhya Pradesh - 2024,18-Jan 10am,16942.56,,,,
Madhya Pradesh - 2024,18-Jan 11am,16563.58,,,,
Madhya Pradesh - 2024,18-Jan 12pm,16173.33,,,,
Madhya Pradesh - 2024,18-Jan 1pm,16011.51,,,,
Madhya Pradesh - 2024,18-Jan 2pm,15781.68,,,,
Madhya Pradesh - 2024,18-Jan 3pm,15854.46,,,,
Madhya Pradesh - 2024,18-Jan 4pm,15695.2,,,,
Madhya Pradesh - 2024,18-Jan 5pm,14857.3,,,,
Madhya Pradesh - 2024,18-Jan 6pm,14272.17,,,,
Madhya Pradesh - 2024,18-Jan 7pm,13506.74,,,,
